Release,Gross,Theaters,Release Date,Info_url,uid,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
Love Again,"$6,230,837","2,703",May 5,/release/rl4031233/?ref_=bo_yld_table_124,tt10276482,"$2,380,962","2,703",5.9,13166,13,
Dream Scenario,"$5,615,011","1,578",Nov 10,/release/rl2292482817/?ref_=bo_yld_table_125,tt21942866,"$220,035",6,7.0,46723,68,91
The Fabelmans,"$5,541,550","1,962",Nov 11,/release/rl337871617/?ref_=bo_yld_table_126,tt14208870,"$161,579",4,7.5,115514,83,92
The Chosen Season 3 Finale,"$5,525,069","1,979",Feb 2,/release/rl1308394241/?ref_=bo_yld_table_127,tt26658653,"$3,623,742","1,979",9.6,710,unknown,unknown
Nefarious,"$5,433,685",933,Apr 14,/release/rl1073644289/?ref_=bo_yld_table_128,tt14537248,"$1,316,266",933,6.4,25984,,
Big George Foreman,"$5,426,772","3,054",Apr 28,/release/rl135365377/?ref_=bo_yld_table_129,tt12226632,"$2,925,364","3,054",6.6,8415,unknown,unknown
Waitress: The Musical,"$5,402,148","1,214",Dec 7,/release/rl306479105/?ref_=bo_yld_table_130,tt15477042,"$2,847,421","1,214",8.0,1528,98,100
Tiger 3,"$5,365,263",779,Nov 11,/release/rl2410840833/?ref_=bo_yld_table_131,tt18411490,"$1,913,046",779,5.8,52735,unknown,unknown
Women Talking,"$5,321,627",707,Dec 23,/release/rl784827137/?ref_=bo_yld_table_132,tt13669038,"$40,530",8,6.9,41407,80,90
Freelance,"$5,314,136","2,057",Oct 27,/release/rl329679617/?ref_=bo_yld_table_133,tt15744298,"$2,086,000","2,057",5.5,15298,,
Infinity Pool,"$5,078,400","1,835",Jan 27,/release/rl4009329409/?ref_=bo_yld_table_134,tt10365998,"$2,514,364","1,835",6.0,55166,,
Hocus Pocus30th Anniversary re-release,"$4,929,004","1,430",Oct 6,/release/rl1018200833/?ref_=bo_yld_table_135,tt0107120,"$1,609,874","1,430",6.9,155552,unknown,unknown
You Hurt My Feelings,"$4,830,788",912,May 26,/release/rl3699737345/?ref_=bo_yld_table_136,tt15771916,"$1,396,448",912,6.6,11705,100,
Kandahar,"$4,813,132","2,105",May 26,/release/rl1375503105/?ref_=bo_yld_table_137,tt5761544,"$2,325,388","2,105",6.1,32453,75,89
Golda,"$4,801,781",883,Aug 25,/release/rl3656090369/?ref_=bo_yld_table_138,tt14454876,"$1,695,959",883,5.9,11261,,
It Lives Inside,"$4,675,092","2,005",Sep 22,/release/rl1487897345/?ref_=bo_yld_table_139,tt15683734,"$2,607,665","2,005",5.2,6767,,
Hypnotic,"$4,500,169","2,118",May 12,/release/rl982024961/?ref_=bo_yld_table_140,tt8080204,"$2,401,686","2,118",5.5,34202,24,24
Stop Making Sense2023 Re-release,"$4,481,445",786,Sep 22,/release/rl933921537/?ref_=bo_yld_table_141,tt0088178,"$856,797",264,8.7,19637,unknown,unknown
Marlowe,"$4,350,243","2,281",Feb 15,/release/rl1593606913/?ref_=bo_yld_table_142,tt6722802,"$1,814,094","2,281",5.3,11033,53,63
The Amazing Maurice,"$4,303,645","1,717",Feb 3,/release/rl317883137/?ref_=bo_yld_table_143,tt10473036,"$1,463,195","1,712",6.2,5461,68,73
Mummies,"$4,275,970",384,Feb 24,/release/rl2532410113/?ref_=bo_yld_table_144,tt23177868,"$422,183",225,5.9,8812,88,53
Theater Camp,"$4,009,945",555,Jul 14,/release/rl1652851457/?ref_=bo_yld_table_145,tt21232992,"$301,220",6,6.9,15650,79,86
Ponniyin Selvan: Part Two,"$3,813,000",-,Apr 28,/release/rl848331521/?ref_=bo_yld_table_146,tt22444570,"$3,813,000",600,7.3,17991,85,86
Anatomy of a Fall,"$3,742,039",583,Oct 13,/release/rl1739752193/?ref_=bo_yld_table_147,tt17009710,"$117,848",5,7.8,96330,90,96
Left Behind: Rise of the Antichrist,"$3,649,422","1,407",Jan 26,/release/rl3337192193/?ref_=bo_yld_table_148,tt16174868,"$2,553,152","1,407",4.3,1965,97,
The Journey: A Music Special from Andrea Bocelli,"$3,574,915","1,074",Apr 2,/release/rl1049461505/?ref_=bo_yld_table_149,tt26769730,"$1,201,091","1,074",8.1,108,96,
Chevalier,"$3,541,159","1,281",Apr 21,/release/rl165708545/?ref_=bo_yld_table_150,tt12758486,"$1,521,288","1,275",6.5,6704,52,83
Mafia Mamma,"$3,496,761","2,002",Apr 14,/release/rl646087425/?ref_=bo_yld_table_151,tt13923456,"$2,032,202","2,002",5.4,10349,67,21
The Wandering Earth II,"$3,444,487",172,Jan 22,/release/rl1190560513/?ref_=bo_yld_table_152,tt13539646,unknown,unknown,6.8,13305,96,82
A Thousand and One,"$3,400,020",926,Mar 31,/release/rl3773006593/?ref_=bo_yld_table_153,tt12427158,"$1,795,695",926,7.0,6697,85,97
Violent Night,"$3,278,955","3,723",Dec 2,/release/rl4179395329/?ref_=bo_yld_table_154,tt12003946,"$13,450,240","3,682",6.7,98294,88,73
What Happens Later,"$3,273,895","1,492",Nov 3,/release/rl2931196673/?ref_=bo_yld_table_155,tt19890316,"$1,522,750","1,492",4.8,2430,28,50
2023 Oscar Nominated Short Films: Live Action,"$3,025,631",357,Feb 17,/release/rl2357232385/?ref_=bo_yld_table_156,tt26687422,"$734,124",357,7.5,45,unknown,unknown
